neuronsPerLayer,hiddenLayers,gen,score,count
1,1,15,52.0,1
1,1,15,54.0,1
1,1,15,55.0,1
1,1,15,57.0,1
1,1,15,58.0,1
1,1,15,62.0,1
1,1,16,31.0,1
1,1,16,32.0,1
1,1,16,35.0,1
1,1,16,36.0,2
1,1,16,39.0,2
1,1,16,40.0,1
1,1,16,41.0,3
1,1,16,42.0,5
1,1,16,43.0,1
1,1,16,45.0,1
1,1,16,46.0,1
1,1,16,47.0,2
1,1,16,49.0,1
1,1,16,50.0,1
1,1,16,51.0,2
1,1,17,26.0,1
1,1,17,32.0,1
1,1,17,35.0,3
1,1,17,37.0,1
1,1,17,38.0,1
1,1,17,41.0,2
1,1,17,42.0,4
1,1,17,43.0,1
1,1,17,44.0,1
1,1,17,45.0,2
1,1,17,46.0,2
1,1,17,48.0,1
1,1,17,49.0,1
1,1,17,50.0,2
1,1,17,52.0,1
1,1,17,53.0,1
1,1,18,30.0,1
1,1,18,31.0,1
1,1,18,32.0,1
1,1,18,34.0,1
1,1,18,36.0,3
1,1,18,37.0,2
1,1,18,38.0,1
1,1,18,39.0,1
1,1,18,40.0,2
1,1,18,42.0,1
1,1,18,43.0,2
1,1,18,44.0,1
1,1,18,45.0,1
1,1,18,46.0,1
1,1,18,47.0,1
1,1,18,48.0,1
1,1,18,50.0,2
1,1,18,51.0,1
1,1,18,52.0,1
1,1,19,35.0,2
1,1,19,36.0,3
1,1,19,37.0,1
1,1,19,38.0,1
1,1,19,40.0,3
1,1,19,41.0,1
1,1,19,42.0,1
1,1,19,43.0,2
1,1,19,44.0,4
1,1,19,45.0,1
1,1,19,46.0,3
1,1,19,47.0,1
1,1,19,48.0,2
1,1,20,25.0,1
1,1,20,32.0,1
1,1,20,33.0,3
1,1,20,35.0,2
1,1,20,37.0,2
1,1,20,39.0,1
1,1,20,41.0,3
1,1,20,43.0,3
1,1,20,45.0,2
1,1,20,46.0,1
1,1,20,47.0,3
1,1,20,49.0,1
1,1,20,50.0,1
1,1,20,60.0,1
1,1,21,31.0,1
1,1,21,33.0,1
1,1,21,37.0,2
1,1,21,41.0,1
1,1,21,42.0,4
1,1,21,43.0,3
1,1,21,44.0,1
1,1,21,45.0,2
1,1,21,46.0,1
1,1,21,48.0,1
1,1,21,49.0,2
1,1,21,50.0,2
1,1,21,51.0,1
1,1,21,52.0,1
1,1,21,53.0,1
1,1,21,54.0,1
1,1,22,35.0,1
1,1,22,39.0,1
1,1,22,41.0,1
1,1,22,43.0,1
1,1,22,44.0,2
1,1,22,45.0,2
1,1,22,46.0,2
1,1,22,47.0,4
1,1,22,48.0,2
