gen,score,count
0,11.0,1
0,20.0,1
0,21.0,1
0,22.0,1
0,23.0,1
0,24.0,3
0,25.0,1
0,29.0,2
0,30.0,1
0,31.0,2
0,33.0,3
0,34.0,1
0,36.0,1
0,37.0,2
0,38.0,1
0,40.0,1
0,44.0,1
0,49.0,1
1,14.0,1
1,20.0,2
1,25.0,3
1,26.0,1
1,28.0,1
1,29.0,1
1,30.0,2
1,31.0,1
1,32.0,1
1,33.0,2
1,36.0,1
1,37.0,1
1,39.0,2
1,41.0,2
1,43.0,1
1,44.0,2
1,50.0,1
2,15.0,1
2,16.0,1
2,19.0,1
2,21.0,2
2,22.0,1
2,23.0,3
2,24.0,1
2,27.0,1
2,28.0,2
2,29.0,2
2,30.0,2
2,32.0,1
2,34.0,1
2,36.0,3
2,39.0,2
2,42.0,1
3,20.0,1
3,21.0,2
3,23.0,2
3,25.0,2
3,26.0,2
3,27.0,1
3,28.0,1
3,29.0,2
3,32.0,2
3,34.0,1
3,36.0,1
3,38.0,2
3,39.0,4
3,41.0,1
3,49.0,1
4,18.0,1
4,19.0,1
4,20.0,1
4,22.0,2
4,23.0,2
4,24.0,1
4,26.0,2
4,27.0,2
4,28.0,3
4,30.0,1
4,32.0,1
4,33.0,2
4,34.0,1
4,35.0,2
4,36.0,1
4,38.0,1
4,43.0,1
5,18.0,1
5,22.0,1
5,23.0,1
5,26.0,2
5,27.0,3
5,28.0,2
5,30.0,2
5,31.0,2
5,32.0,3
5,33.0,2
5,35.0,1
5,36.0,1
5,37.0,1
5,41.0,1
5,43.0,2
6,19.0,1
6,21.0,1
6,24.0,1
6,25.0,2
6,27.0,2
6,28.0,3
6,29.0,1
6,30.0,2
6,32.0,1
6,33.0,1
6,34.0,1
6,35.0,1
6,39.0,1
6,40.0,1
6,41.0,2
6,43.0,1
6,44.0,2
6,46.0,1
7,25.0,2
7,26.0,1
7,27.0,1
7,29.0,3
7,31.0,1
7,32.0,2
7,33.0,1
7,36.0,1
7,37.0,1
7,38.0,2
7,39.0,2
7,40.0,2
7,41.0,3
7,44.0,2
7,46.0,1
8,20.0,1
8,24.0,1
8,25.0,1
8,26.0,1
8,27.0,1
8,28.0,1
8,30.0,2
8,31.0,1
8,32.0,3
8,33.0,3
8,34.0,1
8,35.0,3
8,36.0,1
8,39.0,1
8,42.0,2
8,43.0,1
8,47.0,1
9,17.0,1
