gen,score,count
0,14.0,1
0,17.0,1
0,18.0,1
0,24.0,1
0,25.0,2
0,26.0,1
0,27.0,2
0,28.0,2
0,29.0,1
0,30.0,1
0,31.0,2
0,32.0,1
0,34.0,1
0,35.0,1
0,38.0,2
0,39.0,2
0,40.0,2
0,51.0,1
1,22.0,1
1,26.0,1
1,28.0,1
1,29.0,1
1,30.0,1
1,32.0,2
1,33.0,3
1,34.0,1
1,37.0,4
1,38.0,1
1,39.0,1
1,40.0,2
1,42.0,2
1,43.0,2
1,44.0,1
1,54.0,1
2,16.0,2
2,23.0,1
2,25.0,1
2,27.0,2
2,31.0,2
2,32.0,1
2,33.0,1
2,34.0,1
2,36.0,1
2,37.0,2
2,38.0,1
2,40.0,1
2,41.0,2
2,42.0,3
2,45.0,3
2,55.0,1
3,16.0,1
3,27.0,1
3,28.0,1
3,29.0,2
3,31.0,1
3,32.0,2
3,33.0,2
3,34.0,1
3,37.0,2
3,38.0,1
3,39.0,4
3,41.0,1
3,43.0,1
3,45.0,1
3,47.0,2
3,49.0,1
3,54.0,1
4,24.0,1
4,28.0,1
4,29.0,1
4,31.0,1
4,33.0,1
4,34.0,1
4,35.0,1
4,37.0,2
4,38.0,4
4,39.0,1
4,40.0,1
4,41.0,2
4,43.0,1
4,44.0,1
4,46.0,1
4,47.0,2
4,50.0,1
4,51.0,1
4,54.0,1
5,24.0,1
5,26.0,1
5,28.0,1
5,31.0,3
5,33.0,1
5,36.0,1
5,37.0,1
5,38.0,2
5,39.0,2
5,40.0,1
5,41.0,1
5,43.0,1
5,44.0,1
5,45.0,4
5,50.0,1
5,51.0,1
5,52.0,2
6,28.0,1
6,29.0,1
6,30.0,1
6,34.0,2
6,35.0,2
6,37.0,1
6,38.0,2
6,39.0,3
6,40.0,1
6,42.0,2
6,43.0,1
6,44.0,1
6,46.0,1
6,47.0,1
6,48.0,1
6,49.0,2
6,50.0,1
6,57.0,1
7,32.0,1
7,34.0,1
7,35.0,2
7,36.0,1
7,38.0,1
7,40.0,2
7,41.0,3
7,42.0,2
7,43.0,2
7,44.0,3
7,45.0,2
7,46.0,2
7,48.0,1
7,49.0,1
7,51.0,1
8,27.0,1
8,30.0,1
8,33.0,1
8,38.0,1
8,40.0,1
8,41.0,3
8,42.0,3
8,43.0,1
8,44.0,1
8,45.0,3
8,46.0,5
8,48.0,2
8,53.0,1
8,61.0,1
9,26.0,1
9,35.0,1
9,36.0,1
9,39.0,1
9,40.0,3
9,41.0,1
9,42.0,2
9,43.0,1
9,44.0,1
9,45.0,2
9,46.0,3
9,47.0,1
9,48.0,1
9,49.0,1
9,51.0,2
9,53.0,2
9,54.0,1
10,25.0,1
10,38.0,2
10,40.0,2
10,42.0,1
10,43.0,2
10,44.0,1
10,45.0,4
10,47.0,1
10,48.0,1
10,49.0,1
10,50.0,2
10,51.0,2
10,52.0,1
10,53.0,1
10,56.0,1
10,57.0,1
10,58.0,1
11,36.0,1
11,38.0,1
11,39.0,1
11,42.0,2
11,43.0,2
11,44.0,1
11,45.0,2
11,46.0,2
11,48.0,1
11,49.0,2
11,50.0,1
11,52.0,3
11,53.0,3
11,55.0,1
11,59.0,2
12,34.0,1
12,37.0,3
12,38.0,1
12,41.0,1
12,44.0,1
12,46.0,2
12,47.0,1
12,48.0,2
12,49.0,1
12,50.0,2
12,51.0,4
12,53.0,1
12,54.0,1
12,55.0,1
12,56.0,1
12,65.0,1
12,69.0,1
13,31.0,1
13,35.0,1
13,37.0,1
13,41.0,1
13,42.0,1
13,44.0,2
13,45.0,1
13,46.0,3
13,47.0,1
13,50.0,2
13,51.0,1
13,54.0,1
13,55.0,1
13,57.0,3
13,60.0,1
13,61.0,2
13,64.0,1
13,67.0,1
14,44.0,1
14,45.0,3
14,46.0,1
14,47.0,2
14,49.0,1
14,50.0,2
14,53.0,1
14,54.0,1
14,55.0,3
14,57.0,2
14,58.0,1
14,59.0,4
14,60.0,1
14,61.0,1
14,64.0,1
15,31.0,1
15,35.0,1
15,37.0,1
15,43.0,1
15,45.0,3
15,47.0,2
15,48.0,2
15,49.0,1
15,50.0,2
15,51.0,1
15,53.0,1
15,54.0,3
15,57.0,3
15,58.0,1
15,59.0,1
15,65.0,1
16,43.0,2
16,45.0,1
16,47.0,1
16,48.0,2
16,49.0,3
16,50.0,1
16,51.0,2
16,52.0,2
16,53.0,1
16,54.0,1
16,55.0,1
16,56.0,2
16,57.0,1
16,58.0,1
16,60.0,1
16,62.0,1
16,64.0,1
16,66.0,1
17,41.0,1
17,46.0,3
17,47.0,1
17,48.0,1
17,49.0,1
17,50.0,2
17,51.0,1
17,52.0,4
17,55.0,2
17,56.0,4
17,57.0,3
17,58.0,2
18,39.0,1
18,43.0,1
18,46.0,1
18,48.0,1
18,49.0,3
18,50.0,1
18,52.0,2
18,53.0,4
18,54.0,3
18,55.0,1
18,56.0,3
18,57.0,1
18,58.0,2
18,61.0,1
19,36.0,1
19,43.0,1
19,44.0,1
19,45.0,1
19,46.0,1
19,48.0,1
19,49.0,1
19,50.0,6
19,53.0,4
19,54.0,2
19,55.0,2
19,56.0,1
19,57.0,1
19,59.0,1
19,61.0,1
20,38.0,1
20,42.0,1
20,43.0,1
20,45.0,2
20,48.0,1
20,49.0,1
20,50.0,1
20,51.0,2
20,52.0,1
20,53.0,5
20,54.0,1
20,55.0,1
20,56.0,1
20,57.0,2
20,58.0,4
21,32.0,1
21,36.0,1
21,39.0,1
21,45.0,2
21,46.0,1
21,47.0,2
21,49.0,1
21,50.0,4
21,51.0,2
21,55.0,1
21,56.0,3
21,57.0,1
21,58.0,2
21,61.0,1
21,62.0,1
21,65.0,1
22,34.0,1
22,38.0,1
22,40.0,1
22,42.0,1
22,43.0,1
22,44.0,1
22,45.0,1
22,46.0,2
22,50.0,2
22,51.0,2
22,52.0,3
22,53.0,2
22,54.0,1
22,55.0,1
22,56.0,1
22,57.0,2
22,58.0,1
22,60.0,1
23,30.0,1
23,39.0,1
23,46.0,2
23,47.0,2
23,48.0,2
23,49.0,1
23,50.0,1
23,51.0,2
23,52.0,3
23,53.0,1
23,55.0,2
23,56.0,4
23,57.0,1
23,58.0,1
23,64.0,1
24,35.0,1
24,37.0,2
24,40.0,1
24,42.0,1
24,43.0,1
24,46.0,1
24,47.0,1
24,49.0,2
24,50.0,2
24,51.0,1
24,52.0,2
24,54.0,4
24,55.0,1
24,59.0,2
24,60.0,2
24,61.0,1
25,33.0,2
25,35.0,1
25,36.0,1
25,37.0,1
25,38.0,2
25,39.0,1
25,40.0,1
25,41.0,1
25,42.0,3
25,43.0,2
25,46.0,2
25,47.0,1
25,48.0,1
25,49.0,3
25,54.0,1
25,55.0,1
25,59.0,1
26,33.0,1
26,36.0,1
26,38.0,2
26,40.0,4
26,41.0,1
26,42.0,1
26,43.0,2
26,44.0,1
26,45.0,1
26,46.0,1
26,47.0,2
26,50.0,1
26,51.0,3
26,52.0,1
26,54.0,1
26,56.0,1
26,62.0,1
27,35.0,2
27,36.0,1
27,38.0,2
27,39.0,3
27,40.0,2
27,42.0,1
27,44.0,3
27,45.0,2
27,47.0,2
27,48.0,1
27,49.0,1
27,50.0,1
27,53.0,1
27,57.0,1
27,63.0,1
27,64.0,1
28,40.0,1
28,41.0,5
28,43.0,1
28,45.0,1
28,46.0,1
28,47.0,4
28,48.0,2
28,49.0,1
28,50.0,2
28,51.0,2
28,52.0,2
28,54.0,1
28,58.0,1
28,62.0,1
29,36.0,1
29,37.0,2
29,38.0,1
29,42.0,3
29,44.0,2
29,46.0,1
29,47.0,1
29,48.0,2
29,49.0,1
29,50.0,1
29,51.0,1
29,52.0,3
29,53.0,1
29,54.0,1
29,55.0,1
29,56.0,1
29,58.0,1
29,62.0,1
30,41.0,3
30,42.0,2
30,43.0,1
30,45.0,2
30,46.0,2
30,47.0,1
30,48.0,3
30,49.0,3
30,50.0,1
30,51.0,1
30,52.0,1
30,53.0,1
30,56.0,1
30,57.0,1
30,58.0,1
30,59.0,1
31,35.0,2
31,39.0,2
31,42.0,1
31,43.0,1
31,44.0,4
31,45.0,1
31,46.0,1
31,47.0,1
31,48.0,1
31,49.0,1
31,50.0,2
31,51.0,1
31,52.0,1
31,53.0,1
31,54.0,1
31,56.0,1
31,57.0,3
32,40.0,1
32,41.0,3
32,42.0,1
32,44.0,1
32,45.0,2
32,46.0,2
32,48.0,1
32,49.0,3
32,50.0,2
32,51.0,2
32,52.0,2
32,53.0,1
32,54.0,1
32,57.0,2
32,59.0,1
33,39.0,1
33,41.0,1
33,42.0,2
33,43.0,3
33,45.0,2
33,46.0,1
33,47.0,2
33,48.0,4
33,51.0,3
33,53.0,2
33,59.0,2
33,60.0,2
34,38.0,2
34,39.0,1
34,40.0,1
34,42.0,1
34,43.0,1
34,44.0,2
34,46.0,2
34,47.0,2
34,48.0,4
34,50.0,1
34,51.0,2
34,52.0,1
34,53.0,2
34,58.0,2
34,59.0,1
35,39.0,1
35,40.0,2
35,42.0,3
35,43.0,2
35,44.0,1
35,45.0,1
35,46.0,2
35,47.0,1
35,48.0,1
35,49.0,3
35,52.0,1
35,54.0,2
35,56.0,1
35,57.0,1
35,60.0,2
35,63.0,1
36,35.0,1
36,39.0,1
36,42.0,1
36,43.0,3
36,45.0,2
36,47.0,3
36,48.0,3
36,49.0,1
36,50.0,3
36,52.0,1
36,54.0,1
36,56.0,1
36,57.0,1
36,58.0,1
36,60.0,1
36,67.0,1
37,39.0,3
37,40.0,1
37,43.0,3
37,44.0,1
37,45.0,2
37,46.0,3
37,47.0,4
37,48.0,1
37,49.0,1
37,51.0,1
37,52.0,3
37,54.0,1
37,55.0,1
38,33.0,1
38,38.0,1
38,39.0,2
38,43.0,1
38,44.0,1
38,45.0,2
38,46.0,1
38,47.0,4
38,48.0,2
38,49.0,3
38,51.0,3
38,53.0,2
38,54.0,1
38,58.0,1
39,25.0,1
39,39.0,1
39,42.0,1
39,43.0,3
39,44.0,1
39,46.0,1
39,47.0,2
39,48.0,4
39,50.0,2
39,51.0,2
39,52.0,1
39,53.0,2
39,54.0,3
39,60.0,1
40,33.0,1
40,37.0,1
40,38.0,1
40,39.0,1
40,42.0,1
40,43.0,1
40,44.0,1
40,46.0,2
40,47.0,3
40,48.0,2
40,49.0,1
40,51.0,3
40,52.0,4
40,53.0,2
40,54.0,1
41,39.0,1
41,41.0,1
41,44.0,5
41,45.0,2
41,46.0,2
41,47.0,2
41,50.0,5
41,52.0,2
41,53.0,2
41,56.0,1
41,58.0,1
